Id	EssaySet	Score1	Score2	EssayText
1	1	3	3	a comput is an electron machin that can solv differ problem process data store retriev data and perform calcul faster and effici than human a
2	1	2	1	comput is deriv from a latin word comput which mean to to calcul to count to sum up or to think togeth a so more precis the word comput mean a devic that perform comput a
3	1	3	3	a comput is program devic with a set of instruct to perform specif task and gener result at a veri high speed a
4	1	2	2	a comput is a machin mostli electron that is abl to take inform input and process it to make new inform output a
5	1	1	2	a comput is a programm electron devic design to accept data perform prescrib mathemat and logic oper at high speed and displai the result of these oper all under the control of softwar a mainfram desktop and laptop comput tablet and smart phone ar some of the differ type of comput a
6	1	2	2	an electron machin which help in solv problem quickli and easili a it solv problem accord to instruct given to it by the comput user call program or softwar a it is a digit machin that us binari digit us in all field i
7	1	1	1	a desktop comput is a small machin that ha a screen which is not part of the comput a
8	1	0	0	an embed comput also call embed system is a comput that doe on thing and on thing onli and usual doe it veri well i
9	1	1	1	comput store data and the instruct as number becaus comput can do thing with number veri quickli i these data ar store as binari symbol s and s a
10	1	1	1	all comput have a cup data bu memori chip sensor displai devic peripher a
11	1	3	3	a comput is an electron devic that manipul inform or data i it ha the abil to store retriev and process data i
12	1	0	1	a comput is a devic us to type document send email plai game and brows the web edit or creat spreadsheet present and even video a
13	1	0	0	comput began with the origin ibm c that wa introduc in a other compani began creat similar comput which were call ibm c compat often shorten to c a
14	1	1	1	comput is an electron devic that is design to work with inform c
15	1	1	2	the term comput is deriv from the latin term comput thi mean to calcul or programm machin i
16	1	1	2	comput can not do anyth without a program a the word comput usual refer to the center processor unit plu intern memori i
17	1	0	0	charl babbag is call the grand father of the comput a the first mechan comput design by charl babbag wa call analyt engin a
18	1	2	3	comput is an advanc electron devic that take raw data as input from the user and process these data under the control of set of instruct call program and give the result output and save output for the futur us i
19	1	1	1	the basic compon of a modern digit comput ar input devic output devic central processor unit cup mass storag devic and memori i
20	1	3	2	a comput is a machin or devic that perform process calcul and oper base on instruct provid by a softwar or hardwar program a
21	1	1	1	comput is design to execut applic and provid a varieti of solut by combin integr hardwar and softwar compon a
22	1	1	0	a comput work with softwar program that ar sent to it underli hardwar architectur for read interpret and execut a
23	1	2	2	the term comput wa origin given to human human comput who perform numer calcul us mechan calcul such as the abacu and slide rule a
24	1	3	3	comput ar electron devic that accept data input process that data produc output and store storag the result a
25	1	1	1	comput make job that us to be complic much simpler a
26	1	2	1	a comput is a programm machin i the two princip characterist of a comput ar it respond to a specif set of instruct in a well defin manner and it can execut a prerecord list of instruct a program a
27	1	0	0	a c is a small and rel inexpens comput design for an individu us i
28	1	3	3	a programm electron devic design to accept data perform prescrib mathemat and logic oper at high speed and displai the result of these oper a
29	1	0	0	comput is a person who comput a
30	1	1	2	comput is a devic usual electron that process data accord to a set of instruct a
31	1	2	3	comput is a programm machin that perform high speed process of number as well as of text graphic symbol and sound a
32	1	2	2	an electron devic that store and manipul inform c unlik a calcul it is abl to store a program and retriev inform from it memori i
