Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18
1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,8
2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4
3,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,6
4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
5,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,10
6,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
11,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,5
12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
15,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,6
19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
20,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,7
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
24,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,9
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,5
31,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
32,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,6
33,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,6
34,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,6
35,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4
38,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,7
39,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,7
40,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4
41,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5
42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
43,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5
44,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,9
