Id,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17
1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
3,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
4,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0
6,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
31,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
32,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
33,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
34,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0
35,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
38,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0
39,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
40,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
44,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
51,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
56,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
57,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
62,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
67,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
68,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
69,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
70,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
72,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
74,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
82,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
91,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
93,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
97,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
98,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
