Id	EssaySet	Score1	Score2	EssayText
1	1	3	3	A Computer is an electronic machine that can solve different problems, process data, store & retrieve data and perform calculations faster and efficiently than humans.
2	1	2	1	Computer is derived from a Latin word “computare” which means to “to calculate”, “to count”, “to sum up” or “to think together”. So, more precisely the word computer means a "device that performs computation".
3	1	3	3	A Computer is programmed device with a set of instructions to perform specific tasks and generate results at a very high speed.
4	1	2	2	A computer is a machine (mostly electronic) that is able to take information (input), and process it to make new information (output).
5	1	1	2	A computer is a programmable electronic device designed to accept data, perform prescribed mathematical and logical operations at high speed, and display the results of these operations, all under the control of software. Mainframes, desktop and laptop computers, tablets and smartphones are some of the different types of computers.
6	1	2	2	An electronic machine which helps in solving problems quickly and easily. It solves problems according to instructions given to it by the computer user called programs or software. It is a digital machine(that uses binary digits) used in all fields.
7	1	1	1	A "desktop computer" is a small machine that has a screen (which is not part of the computer).
8	1	0	0	An embedded computer, also called embedded system is a computer that does one thing and one thing only, and usually does it very well.
9	1	1	1	Computers store data and the instructions as numbers, because computers can do things with numbers very quickly. These data are stored as binary symbols (1s and 0s).
10	1	1	1	All computers have a CPU, data bus, memory, chips, sensors, display device, peripherals.
11	1	3	3	A computer is an electronic device that manipulates information, or data. It has the ability to store, retrieve, and process data.
12	1	0	1	A computer is a device used to type documents, send email, play games, and browse the Web, edit or create spreadsheets, presentations, and even videos.
13	1	0	0	Computer began with the original IBM PC that was introduced in 1981. Other companies began creating similar computers, which were called IBM PC Compatible (often shortened to PC).
14	1	1	1	Computer is an electronic device that is designed to work with Information.
15	1	1	2	The term computer is derived from the Latin term ‘computare’, this means to calculate or programmable machine. 
16	1	1	2	Computer can not do anything without a Program. The Word 'Computer' usually refers to the Center Processor Unit plus Internal memory.
17	1	0	0	Charles Babbage is called the "Grand Father" of the computer. The First mechanical computer designed by Charles Babbage was called Analytical Engine.
18	1	2	3	Computer is an advanced electronic device that takes raw data as input from the user and processes these data under the control of set of instructions (called program) and gives the result (output) and saves output for the future use.
19	1	1	1	The basic components of a modern digital computer are: Input Device, Output Device, Central Processor Unit (CPU), mass storage device and memory.
20	1	3	2	A computer is a machine or device that performs processes, calculations and operations based on instructions provided by a software or hardware program.
21	1	1	1	Computer is designed to execute applications and provides a variety of solutions by combining integrated hardware and software components.
22	1	1	0	A computer works with software programs that are sent to its underlying hardware architecture for reading, interpretation and execution.
23	1	2	2	The term "computer" was originally given to humans (human computers) who performed numerical calculations using mechanical calculators, such as the abacus and slide rule.
24	1	3	3	Computers are electronic devices that accept data (input), process that data, produce output, and store (storage) the results.
25	1	1	1	Computers make jobs that used to be complicated much simpler.
26	1	2	1	A computer is a programmable machine. The two principal characteristics of a computer are: It responds to a specific set of instructions in a well-defined manner and it can execute a prerecorded list of instructions (a program).
27	1	0	0	A PC is a small and relatively inexpensive computer designed for an individual use.
28	1	3	3	A programmable electronic device designed to accept data, perform prescribed mathematical and logical operations at high speed, and display the results of these operations.
29	1	0	0	Computer is a person who computes.
30	1	1	2	Computer is a device, usually electronic, that processes data according to a set of instructions.
31	1	2	3	Computer is a programmable machine that performs high-speed processing of numbers, as well as of text, graphics, symbols, and sound.
32	1	2	2	An electronic device that stores and manipulates information. Unlike a calculator, it is able to store a program and retrieve information from its memory.
33	1	3	2	A computer is a device that accepts information and manipulates it for some result based on a program or sequence of instructions on how the data is to be processed.
34	1	2	2	A computer is a device that accepts information (in the form of digitalized data) and manipulates it for some result based on a program or sequence of instructions on how the data is to be processed.
35	1	1	1	An electronic machine which helps in solving problems quickly and easily.
36	1	1	1	Computer definition stems from the three steps Input, Processing and Output.
37	1	1	1	Computer is a machine which can be instructed to accept, process, store and output data.
38	1	2	3	An electronic device designed to accept data, perform prescribed mathematical and logical operations at high speed, and display the results of these operations.
39	1	2	2	Computer, machine that performs tasks, such as calculations or electronic communication, under the control of a set of instructions called a program.
40	1	3	3	An electronic machine that can store, organize and find information, do calculations and control other machines.
41	1	3	3	A computer is a programmable machine that can execute a programmed list of instructions and respond to new instructions that it is given.
42	1	1	1	"computer" technically only refers to the computer itself -- not the monitor, keyboard, and mouse. Still, it is acceptable to refer to everything together as the computer.
43	1	3	3	A computer is a device or machine for making calculations or controlling operations that are expressible in numerical or logical terms.
44	1	2	3	Computer is a device that computes, especially a programmable electronic machine that performs high-speed mathematical or logical operations or that assembles, stores, correlates, or otherwise processes information.
45	1	1	1	Computer is a device which is Reliable, Consistent, Versatile and has fast processing speed.
46	1	0	0	Computer plays great role and becomes part of the day to day activities of every profession and industry.
47	1	1	2	Computer is an electronic machine that can store and work with large amounts of information.
48	1	1	2	Computer is an automatic electronic machine that can store and process data.
49	1	1	2	A computer is an electronic machine that can store and deal with large amounts of information.
50	1	2	2	A computer is a device, usually electronic, that processes data according to a set of instructions. 
51	1	3	3	An electronic machine which, by means of stored instructions and information, performs rapid, often complex calculations or compiles, correlates, and selects data.
52	1	1	0	Simply speaking computer is a calculating device.
53	1	1	1	Computer is derived from the Latin word computare meaning "to compute", and can be applied as properly to an abacus or an adding machine as to the modern computer.
54	1	2	2	An electronic machine can store and process information. It is defined as stored program digital computing system.
55	1	1	0	A Computer is an electronic device of wires, transistors, circuits, instructions and data can transmit, store and manipulate information.
