Id	EssaySet	Score1	Score2	EssayText
1	1	3	3	a comput is an electron machin that can solv differ problem process data store retriev data and perform calcul faster and effici than human .
2	1	2	1	comput is deriv from a latin word compar which mean to to calcul to count to sum up or to think togeth . so more precis the word comput mean a devic that perform comput .
3	1	3	3	a comput is program devic with a set of instruct to perform specif task and gener result at a veri high speed .
4	1	2	2	a comput is a machin mostli electron that is abl to take inform input and process it to make new inform output .
5	1	1	2	a comput is a programm electron devic design to accept data perform prescrib mathemat and logic oper at high speed and displai the result of these oper all under the control of softwar . mainfram desktop and laptop comput tablet and smart phone ar some of the differ type of comput .
6	1	2	2	an electron machin which help in solv problem quickli and easili . it solv problem accord to instruct given to it by the comput user call program or softwar . it is a digit machin that us binari digit us in all field .
7	1	1	1	a desktop comput is a small machin that ha a screen which is not part of the comput .
8	1	0	0	an embed comput also call embed system is a comput that doe on thing and on thing onli and usual doe it veri well .
9	1	1	1	comput store data and the instruct as number becaus comput can do thing with number veri quickli . these data ar store as binari symbol s and s .
10	1	1	1	all comput have a cup data bu memori chip sensor displai devic peripher .
11	1	3	3	a comput is an electron devic that manipul inform or data . it ha the abil to store retriev and process data .
12	1	0	1	a comput is a devic us to type document send email plai game and brows the web edit or creat spreadsheet present and even video .
13	1	0	0	comput began with the origin ibm c that wa introduc in . other compani began creat similar comput which were call ibm c compat often shorten to c .
14	1	1	1	comput is an electron devic that is design to work with inform .
15	1	1	2	the term comput is deriv from the latin term compar thi mean to calcul or programm machin .
16	1	1	2	comput can not do anyth without a program . the word comput usual refer to the center processor unit plu intern memori .
17	1	0	0	charl babbag is call the grand father of the comput . the first mechan comput design by charl babbag wa call analyt engin .
18	1	2	3	comput is an advanc electron devic that take raw data as input from the user and process these data under the control of set of instruct call program and give the result output and save output for the futur us .
19	1	1	1	the basic compon of a modern digit comput ar input devic output devic central processor unit cup mass storag devic and memori .
20	1	3	2	a comput is a machin or devic that perform process calcul and oper base on instruct provid by a softwar or hardwar program .
21	1	1	1	comput is design to execut applic and provid a varieti of solut by combin integr hardwar and softwar compon .
22	1	1	0	a comput work with softwar program that ar sent to it underli hardwar architectur for read interpret and execut .
23	1	2	2	the term comput wa origin given to human human comput who perform numer calcul us mechan calcul such as the abacu and slide rule .
24	1	3	3	comput ar electron devic that accept data input process that data produc output and store storag the result .
25	1	1	1	comput make job that us to be complic much simpler .
26	1	2	1	a comput is a programm machin . the two princip characterist of a comput ar it respond to a specif set of instruct in a well defin manner and it can execut a prerecord list of instruct a program .
27	1	0	0	a c is a small and rel inexpens comput design for an individu us .
28	1	3	3	a programm electron devic design to accept data perform prescrib mathemat and logic oper at high speed and displai the result of these oper .
29	1	0	0	comput is a person who comput .
30	1	1	2	comput is a devic usual electron that process data accord to a set of instruct .
31	1	2	3	comput is a programm machin that perform high speed process of number as well as of text graphic symbol and sound .
32	1	2	2	an electron devic that store and manipul inform . unlik a calcul it is abl to store a program and retriev inform from it memori .
33	1	3	2	a comput is a devic that accept inform and manipul it for some result base on a program or sequenc of instruct on how the data is to be process .
34	1	2	2	a comput is a devic that accept inform in the form of digit size data and manipul it for some result base on a program or sequenc of instruct on how the data is to be process .
35	1	1	1	an electron machin which help in solv problem quickli and easili .
36	1	1	1	comput definit stem from the three step input process and output .
37	1	1	1	comput is a machin which can be instruct to accept process store and output data .
38	1	2	3	an electron devic design to accept data perform prescrib mathemat and logic oper at high speed and displai the result of these oper .
39	1	2	2	comput machin that perform task such as calcul or electron commun under the control of a set of instruct call a program .
40	1	3	3	an electron machin that can store organ and find inform do calcul and control other machin .
41	1	3	3	a comput is a programm machin that can execut a program list of instruct and respond to new instruct that it is given .
42	1	1	1	comput technic onli refer to the comput itself not the monitor keyboard and mous . still it is accept to refer to everyth togeth as the comput .
43	1	3	3	a comput is a devic or machin for make calcul or control oper that ar express in numer or logic term .
44	1	2	3	comput is a devic that comput especi a programm electron machin that perform high speed mathemat or logic oper or that assembl store correl or otherwis process inform .
45	1	1	1	comput is a devic which is reliabl consist versatil and ha fast process speed .
46	1	0	0	comput plai great role and becom part of the dai to dai activ of everi profess and industri .
47	1	1	2	comput is an electron machin that can store and work with larg amount of inform .
48	1	1	2	comput is an automat electron machin that can store and process data .
49	1	1	2	a comput is an electron machin that can store and deal with larg amount of inform .
50	1	2	2	a comput is a devic usual electron that process data accord to a set of instruct .
51	1	3	3	an electron machin which by mean of store instruct and inform perform rapid often complex calcul or compil correl and select data .
52	1	1	0	simpli speak comput is a calcul devic .
53	1	1	1	comput is deriv from the latin word compar mean to comput and can be appli as properli to an abacu or an ad machin as to the modern comput .
54	1	2	2	an electron machin can store and process inform . it is defin as store program digit comput system .
55	1	1	0	a comput is an electron devic of wire transistor circuit instruct and data can transmit store and manipul inform .
56	1	2	2	a comput is a machin that accept data and process that data data mai be number letter or both or even sound . inform is turn into electr puls so that it mai be process by sort collat and delet mathemat manipul and other form of data process .
